cpu_usage,memory_usage,disk_io,network_activity,label
54,63,43,30,0
48,59,48,41,0
56,50,42,45,1
65,43,46,68,0
47,56,31,55,0
47,53,52,36,0
65,58,50,54,0
57,56,41,34,0
45,60,56,60,0
55,44,59,45,0
45,63,33,49,0
45,51,42,63,0
52,70,42,37,0
30,43,40,36,0
32,67,58,44,0
44,51,48,60,0
39,43,47,34,0
53,45,29,21,0
40,46,56,45,0
35,54,37,55,0
64,55,50,62,0
47,44,52,45,0
50,49,63,45,0
35,71,36,61,0
44,67,19,31,0
51,54,51,46,0
38,50,68,51,0
53,51,62,54,0
43,56,52,44,0
47,39,45,50,0
43,47,58,25,0
68,33,40,43,0
49,53,54,54,0
39,56,55,40,0
58,45,60,50,0
37,65,77,54,0
52,37,53,46,0
30,35,44,51,1
36,52,49,40,1
51,60,32,47,0
57,66,43,56,0
51,45,45,51,0
48,60,44,44,0
46,49,51,52,0
35,48,41,57,0
42,58,61,29,0
45,56,50,61,0
60,34,49,46,0
53,64,46,54,0
32,63,51,61,1
53,43,58,36,0
46,53,41,42,0
43,54,43,47,1
56,52,46,42,0
60,44,36,67,0
59,43,41,41,0
41,49,45,44,0
46,61,58,52,0
53,55,52,37,0
59,46,51,46,0
45,57,58,53,0
48,21,48,46,0
38,61,53,49,1
38,32,48,44,0
58,46,52,34,0
63,38,44,53,0
49,37,25,67,0
60,61,48,50,1
53,45,64,52,0
43,53,59,56,0
53,49,59,37,0
65,54,62,67,0
49,50,50,52,0
65,37,51,66,0
23,59,43,42,0
58,45,46,68,0
50,34,56,57,0
47,45,62,55,0
50,65,48,52,0
30,58,45,47,0
47,46,50,62,1
53,46,56,51,0
64,46,35,30,0
44,70,27,38,0
41,53,44,48,0
44,54,37,53,0
59,60,44,49,0
53,52,48,62,0
44,47,45,30,0
55,48,64,51,0
50,49,53,31,0
59,49,53,57,0
42,57,56,49,0
46,50,38,54,1
46,57,60,41,0
35,49,49,62,0
52,50,56,60,0
52,30,39,55,0
50,59,34,48,0
47,53,58,55,0
35,59,53,42,0
45,21,40,58,0
46,70,41,66,0
41,48,61,60,0
48,61,38,42,0
54,39,66,53,0
68,56,40,37,0
51,39,56,55,1
52,43,46,54,0
49,69,56,31,0
30,48,44,38,0
49,52,48,47,1
50,58,50,46,0
74,54,39,37,1
48,51,57,53,0
53,53,44,52,0
49,74,47,48,1
38,49,40,42,0
61,52,24,60,0
57,60,48,66,0
57,61,74,45,0
40,61,57,43,1
64,56,49,54,0
35,38,47,46,0
55,66,50,48,0
71,38,55,57,0
40,53,38,30,0
44,42,61,63,0
50,49,57,50,0
44,53,57,45,1
34,53,54,49,0
50,54,50,49,0
39,66,56,32,1
54,54,55,64,0
40,47,46,50,0
65,59,44,54,0
42,61,51,59,0
46,37,65,39,0
58,55,37,54,1
37,57,35,47,0
52,47,51,58,0
63,63,50,28,0
33,48,51,49,0
51,51,52,43,0
52,48,47,54,0
57,50,64,54,0
37,39,33,42,0
36,35,41,42,0
55,65,48,48,0
52,41,33,41,0
52,40,48,58,0
53,28,66,46,0
43,43,50,20,0
52,36,52,46,0
52,66,37,39,0
42,60,43,33,0
68,43,46,37,0
54,72,46,51,0
38,59,62,63,0
56,46,55,53,0
40,25,38,43,0
57,72,52,54,0
61,36,54,45,0
41,33,61,43,0
